epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.8324,0.25419,0.925,1,0.19513,0.000532514,0.000532514,0.000532514
2,30.9156,0.36854,0.975,1,0.06479,0.00103432,0.00103432,0.00103432
3,45.8134,0.1608,0.9,1,0.22368,0.00148111,0.00148111,0.00148111
4,60.1696,0.23907,0.925,1,0.21109,0.00141945,0.00141945,0.00141945
5,74.6996,0.17454,0.975,1,0.13553,0.00133693,0.00133693,0.00133693
6,89.0878,0.15364,1,1,0.02912,0.00125442,0.00125442,0.00125442
7,103.808,0.07482,0.925,1,0.18419,0.0011719,0.0011719,0.0011719
8,118.397,0.13757,0.95,1,0.1603,0.00108938,0.00108938,0.00108938
9,133.327,0.15096,0.95,1,0.10383,0.00100687,0.00100687,0.00100687
10,148.593,0.10545,0.95,1,0.2385,0.000924352,0.000924352,0.000924352
11,165.328,0.24793,0.925,1,0.30144,0.000841835,0.000841835,0.000841835
12,182.417,0.09698,0.925,1,0.24822,0.000759318,0.000759318,0.000759318
13,204.962,0.11093,0.925,1,0.21337,0.000676802,0.000676802,0.000676802
14,225.199,0.06784,0.95,1,0.11468,0.000594286,0.000594286,0.000594286
15,244.43,0.19009,0.925,1,0.14512,0.000511769,0.000511769,0.000511769
16,260.487,0.10384,0.95,1,0.16641,0.000429253,0.000429253,0.000429253
17,275.688,0.17762,0.95,1,0.13212,0.000346736,0.000346736,0.000346736
18,290.924,0.0946,0.95,1,0.23998,0.00026422,0.00026422,0.00026422
19,305.611,0.08784,0.975,1,0.15439,0.000181703,0.000181703,0.000181703
20,320.37,0.0587,0.975,1,0.16774,9.91865e-05,9.91865e-05,9.91865e-05
